Time,Count
2016-04-03,233
2016-04-04,240
2016-04-05,257
2016-04-06,262
2016-04-07,312
2016-04-08,277
2016-04-09,280
2016-04-10,221
2016-04-11,307
2016-04-12,263
2016-04-13,303
2016-04-14,260
2016-04-15,291
2016-04-16,239
2016-04-17,252
2016-04-18,262
2016-04-19,253
2016-04-20,286
2016-04-21,254
2016-04-22,245
2016-04-23,271
2016-04-24,275
2016-04-25,284
2016-04-26,272
2016-04-27,286
2016-04-28,229
2016-04-29,296
2016-04-30,247
2016-05-01,273
2016-05-02,282
2016-05-03,225
2016-05-04,229
2016-05-05,300
2016-05-06,301
2016-05-07,250
2016-05-08,237
2016-05-09,279
2016-05-10,278
2016-05-11,306
2016-05-12,307
2016-05-13,289
2016-05-14,255
2016-05-15,243
2016-05-16,290
2016-05-17,282
2016-05-18,284
2016-05-19,267
2016-05-20,259
2016-05-21,286
2016-05-22,272
2016-05-23,287
2016-05-24,302
2016-05-25,287
2016-05-26,301
2016-05-27,269
2016-05-28,283
2016-05-29,260
2016-05-30,251
2016-05-31,337
2016-06-01,314
2016-06-02,308
2016-06-03,329
2016-06-04,290
2016-06-05,240
2016-06-06,274
2016-06-07,336
2016-06-08,274
2016-06-09,283
2016-06-10,305
2016-06-11,261
2016-06-12,241
2016-06-13,324
2016-06-14,299
2016-06-15,330
2016-06-16,320
2016-06-17,290
2016-06-18,256
2016-06-19,234
2016-06-20,307
2016-06-21,284
2016-06-22,297
2016-06-23,297
2016-06-24,308
2016-06-25,236
2016-06-26,245
2016-06-27,246
2016-06-28,237
2016-06-29,293
2016-06-30,267
2016-07-01,283
2016-07-02,268
2016-07-03,231
2016-07-04,283
2016-07-05,319
2016-07-06,309
2016-07-07,255
2016-07-08,285
2016-07-09,229
2016-07-10,243
2016-07-11,300
2016-07-12,289
2016-07-13,259
2016-07-14,277
2016-07-15,263
2016-07-16,302
2016-07-17,252
2016-07-18,263
2016-07-19,261
2016-07-20,259
2016-07-21,278
2016-07-22,264
2016-07-23,300
2016-07-24,243
2016-07-25,282
2016-07-26,277
2016-07-27,304
2016-07-28,290
2016-07-29,275
2016-07-30,264
2016-07-31,271
2016-08-01,319
2016-08-02,265
2016-08-03,292
2016-08-04,275
2016-08-05,272
2016-08-06,259
2016-08-07,252
2016-08-08,286
2016-08-09,306
2016-08-10,327
2016-08-11,293
2016-08-12,267
2016-08-13,249
2016-08-14,283
2016-08-15,333
2016-08-16,307
2016-08-17,310
2016-08-18,305
2016-08-19,282
2016-08-20,284
2016-08-21,251
2016-08-22,312
2016-08-23,298
2016-08-24,295
2016-08-25,245
2016-08-26,262
2016-08-27,276
2016-08-28,285
2016-08-29,287
2016-08-30,304
2016-08-31,269
2016-09-01,375
2016-09-02,312
2016-09-03,257
2016-09-04,246
2016-09-05,257
2016-09-06,232
2016-09-07,255
2016-09-08,247
2016-09-09,265
2016-09-10,254
2016-09-11,262
2016-09-12,294
2016-09-13,284
2016-09-14,292
2016-09-15,273
2016-09-16,350
2016-09-17,269
2016-09-18,270
2016-09-19,288
2016-09-20,288
2016-09-21,297
2016-09-22,278
2016-09-23,310
2016-09-24,297
2016-09-25,276
2016-09-26,278
2016-09-27,283
2016-09-28,268
2016-09-29,283
2016-09-30,289
2016-10-01,314
2016-10-02,250
2016-10-03,256
2016-10-04,271
2016-10-05,270
2016-10-06,301
2016-10-07,282
2016-10-08,343
2016-10-09,225
2016-10-10,246
2016-10-11,289
2016-10-12,262
2016-10-13,257
2016-10-14,301
2016-10-15,300
2016-10-16,238
2016-10-17,284
2016-10-18,275
2016-10-19,299
2016-10-20,252
2016-10-21,300
2016-10-22,251
2016-10-23,256
2016-10-24,305
2016-10-25,250
2016-10-26,277
2016-10-27,269
2016-10-28,273
2016-10-29,269
2016-10-30,236
2016-10-31,308
2016-11-01,341
2016-11-02,308
2016-11-03,272
2016-11-04,280
2016-11-05,297
2016-11-06,249
2016-11-07,261
2016-11-08,244
2016-11-09,243
2016-11-10,288
2016-11-11,290
2016-11-12,264
2016-11-13,204
2016-11-14,252
2016-11-15,296
2016-11-16,293
2016-11-17,307
2016-11-18,273
2016-11-19,263
2016-11-20,257
2016-11-21,267
2016-11-22,266
2016-11-23,264
2016-11-24,148
2016-11-25,238
2016-11-26,238
2016-11-27,212
2016-11-28,258
2016-11-29,264
2016-11-30,240
2016-12-01,310
2016-12-02,299
2016-12-03,249
2016-12-04,262
2016-12-05,259
2016-12-06,294
2016-12-07,298
2016-12-08,299
2016-12-09,275
2016-12-10,229
2016-12-11,235
2016-12-12,258
2016-12-13,261
2016-12-14,247
2016-12-15,278
2016-12-16,241
2016-12-17,263
2016-12-18,250
2016-12-19,277
2016-12-20,248
2016-12-21,236
2016-12-22,280
2016-12-23,267
2016-12-24,194
2016-12-25,140
2016-12-26,199
2016-12-27,222
2016-12-28,266
2016-12-29,275
2016-12-30,232
2016-12-31,262
2017-01-01,276
2017-01-02,217
2017-01-03,229
2017-01-04,272
2017-01-05,267
2017-01-06,275
2017-01-07,228
2017-01-08,193
2017-01-09,273
2017-01-10,259
2017-01-11,267
2017-01-12,256
2017-01-13,262
2017-01-14,247
2017-01-15,225
2017-01-16,222
2017-01-17,280
2017-01-18,248
2017-01-19,270
2017-01-20,270
2017-01-21,277
2017-01-22,237
2017-01-23,297
2017-01-24,261
2017-01-25,296
2017-01-26,273
2017-01-27,287
2017-01-28,288
2017-01-29,226
2017-01-30,259
2017-01-31,225
2017-02-01,271
2017-02-02,255
2017-02-03,260
2017-02-04,247
2017-02-05,212
2017-02-06,207
2017-02-07,251
2017-02-08,311
2017-02-09,218
2017-02-10,248
2017-02-11,232
2017-02-12,223
2017-02-13,255
2017-02-14,302
2017-02-15,315
2017-02-16,289
2017-02-17,294
2017-02-18,288
2017-02-19,223
2017-02-20,263
2017-02-21,255
2017-02-22,254
2017-02-23,274
2017-02-24,353
2017-02-25,289
2017-02-26,240
2017-02-27,278
2017-02-28,266
2017-03-01,307
2017-03-02,270
2017-03-03,268
2017-03-04,208
2017-03-05,206
2017-03-06,250
2017-03-07,264
2017-03-08,277
2017-03-09,274
2017-03-10,275
2017-03-11,250
2017-03-12,215
2017-03-13,271
2017-03-14,210
2017-03-15,227
2017-03-16,289
2017-03-17,311
2017-03-18,264
2017-03-19,228
2017-03-20,319
2017-03-21,274
2017-03-22,255
2017-03-23,256
2017-03-24,283
2017-03-25,245
2017-03-26,234
2017-03-27,303
2017-03-28,232
2017-03-29,264
2017-03-30,298
2017-03-31,321
2017-04-01,296
2017-04-02,275
2017-04-03,273
2017-04-04,252
2017-04-05,255
2017-04-06,252
2017-04-07,294
2017-04-08,252
2017-04-09,228
2017-04-10,270
2017-04-11,277
2017-04-12,286
2017-04-13,311
2017-04-14,274
2017-04-15,250
2017-04-16,248
2017-04-17,259
2017-04-18,261
2017-04-19,285
2017-04-20,242
2017-04-21,273
2017-04-22,240
2017-04-23,272
2017-04-24,293
2017-04-25,249
2017-04-26,259
2017-04-27,274
2017-04-28,299
2017-04-29,300
2017-04-30,243
2017-05-01,334
2017-05-02,315
2017-05-03,269
2017-05-04,317
2017-05-05,307
2017-05-06,262
2017-05-07,246
2017-05-08,272
2017-05-09,287
2017-05-10,252
2017-05-11,253
2017-05-12,297
2017-05-13,285
2017-05-14,227
2017-05-15,247
2017-05-16,358
2017-05-17,328
2017-05-18,295
2017-05-19,333
2017-05-20,289
2017-05-21,250
2017-05-22,244
2017-05-23,271
2017-05-24,317
2017-05-25,260
2017-05-26,293
2017-05-27,242
2017-05-28,233
2017-05-29,222
2017-05-30,286
2017-05-31,294
2017-06-01,330
2017-06-02,322
2017-06-03,289
2017-06-04,236
2017-06-05,283
2017-06-06,274
2017-06-07,287
2017-06-08,323
2017-06-09,252
2017-06-10,298
2017-06-11,295
2017-06-12,284
2017-06-13,341
2017-06-14,316
2017-06-15,345
2017-06-16,333
2017-06-17,257
2017-06-18,241
2017-06-19,284
2017-06-20,285
2017-06-21,305
2017-06-22,289
2017-06-23,307
2017-06-24,292
2017-06-25,326
2017-06-26,321
2017-06-27,304
2017-06-28,336
2017-06-29,306
2017-06-30,281
2017-07-01,330
2017-07-02,245
2017-07-03,300
2017-07-04,271
2017-07-05,319
2017-07-06,299
2017-07-07,274
2017-07-08,295
2017-07-09,239
2017-07-10,324
2017-07-11,288
2017-07-12,285
2017-07-13,272
2017-07-14,311
2017-07-15,268
2017-07-16,275
2017-07-17,307
2017-07-18,310
2017-07-19,298
2017-07-20,272
2017-07-21,305
2017-07-22,323
2017-07-23,220
2017-07-24,248
2017-07-25,303
2017-07-26,313
2017-07-27,321
2017-07-28,281
2017-07-29,303
2017-07-30,256
2017-07-31,347
2017-08-01,344
2017-08-02,312
2017-08-03,333
2017-08-04,359
2017-08-05,255
2017-08-06,248
2017-08-07,316
2017-08-08,284
2017-08-09,317
2017-08-10,308
2017-08-11,281
2017-08-12,315
2017-08-13,252
2017-08-14,316
2017-08-15,275
2017-08-16,323
2017-08-17,287
2017-08-18,295
2017-08-19,290
2017-08-20,276
2017-08-21,284
2017-08-22,302
2017-08-23,301
2017-08-24,308
2017-08-25,275
2017-08-26,263
2017-08-27,278
2017-08-28,294
2017-08-29,266
2017-08-30,246
2017-08-31,318
2017-09-01,374
2017-09-02,272
2017-09-03,234
2017-09-04,216
2017-09-05,290
2017-09-06,253
2017-09-07,316
2017-09-08,349
2017-09-09,271
2017-09-10,244
2017-09-11,306
2017-09-12,281
2017-09-13,315
2017-09-14,285
2017-09-15,355
2017-09-16,328
2017-09-17,286
2017-09-18,258
2017-09-19,280
2017-09-20,274
2017-09-21,317
2017-09-22,367
2017-09-23,315
2017-09-24,292
2017-09-25,323
2017-09-26,333
2017-09-27,311
2017-09-28,309
2017-09-29,287
2017-09-30,240
2017-10-01,310
2017-10-02,276
2017-10-03,266
2017-10-04,297
2017-10-05,291
2017-10-06,299
2017-10-07,296
2017-10-08,251
2017-10-09,211
2017-10-10,319
2017-10-11,276
2017-10-12,304
2017-10-13,302
2017-10-14,260
2017-10-15,262
2017-10-16,296
2017-10-17,260
2017-10-18,289
2017-10-19,311
2017-10-20,299
2017-10-21,291
2017-10-22,246
2017-10-23,285
2017-10-24,295
2017-10-25,289
2017-10-26,275
2017-10-27,298
2017-10-28,276
2017-10-29,258
2017-10-30,301
2017-10-31,283
2017-11-01,311
2017-11-02,286
2017-11-03,315
2017-11-04,273
2017-11-05,271
2017-11-06,277
2017-11-07,269
2017-11-08,255
2017-11-09,285
2017-11-10,309
2017-11-11,244
2017-11-12,200
2017-11-13,227
2017-11-14,268
2017-11-15,273
2017-11-16,274
2017-11-17,293
2017-11-18,272
2017-11-19,244
2017-11-20,274
2017-11-21,306
2017-11-22,227
2017-11-23,150
2017-11-24,221
2017-11-25,240
2017-11-26,206
2017-11-27,255
2017-11-28,274
2017-11-29,302
2017-11-30,269
2017-12-01,315
2017-12-02,265
2017-12-03,246
2017-12-04,267
2017-12-05,280
2017-12-06,297
2017-12-07,270
2017-12-08,280
2017-12-09,258
2017-12-10,201
2017-12-11,224
2017-12-12,270
2017-12-13,229
2017-12-14,237
2017-12-15,295
2017-12-16,240
2017-12-17,215
2017-12-18,236
2017-12-19,255
2017-12-20,283
2017-12-21,251
2017-12-22,217
2017-12-23,218
2017-12-24,199
2017-12-25,140
2017-12-26,204
2017-12-27,211
2017-12-28,215
2017-12-29,224
2017-12-30,205
2017-12-31,226
2018-01-01,252
2018-01-02,214
2018-01-03,262
2018-01-04,211
2018-01-05,199
2018-01-06,219
2018-01-07,203
2018-01-08,278
2018-01-09,292
2018-01-10,282
2018-01-11,288
2018-01-12,317
2018-01-13,277
2018-01-14,210
2018-01-15,239
2018-01-16,239
2018-01-17,277
2018-01-18,229
2018-01-19,250
2018-01-20,249
2018-01-21,216
2018-01-22,234
2018-01-23,272
2018-01-24,223
2018-01-25,239
2018-01-26,300
2018-01-27,253
2018-01-28,236
2018-01-29,282
2018-01-30,259
2018-01-31,223
2018-02-01,280
2018-02-02,251
2018-02-03,216
2018-02-04,214
2018-02-05,268
2018-02-06,258
2018-02-07,202
2018-02-08,286
2018-02-09,228
2018-02-10,253
2018-02-11,204
2018-02-12,261
2018-02-13,226
2018-02-14,257
2018-02-15,295
2018-02-16,266
2018-02-17,250
2018-02-18,189
2018-02-19,211
2018-02-20,272
2018-02-21,306
2018-02-22,190
2018-02-23,275
2018-02-24,262
2018-02-25,205
2018-02-26,267
2018-02-27,253
2018-02-28,260
2018-03-01,261
2018-03-02,274
2018-03-03,224
2018-03-04,220
2018-03-05,218
2018-03-06,256
2018-03-07,233
2018-03-08,248
2018-03-09,284
2018-03-10,259
2018-03-11,171
2018-03-12,255
2018-03-13,225
2018-03-14,222
2018-03-15,273
2018-03-16,267
2018-03-17,247
2018-03-18,245
2018-03-19,239
2018-03-20,265
2018-03-21,284
2018-03-22,204
2018-03-23,250
2018-03-24,228
2018-03-25,241
2018-03-26,267
2018-03-27,274
2018-03-28,279
2018-03-29,239
2018-03-30,281
2018-03-31,260
2018-04-01,241
2018-04-02,272
2018-04-03,249
2018-04-04,265
2018-04-05,286
2018-04-06,229
2018-04-07,272
2018-04-08,220
2018-04-09,250
2018-04-10,267
2018-04-11,280
2018-04-12,297
2018-04-13,272
2018-04-14,289
2018-04-15,216
2018-04-16,197
2018-04-17,271
2018-04-18,266
2018-04-19,254
2018-04-20,309
2018-04-21,266
2018-04-22,228
2018-04-23,250
2018-04-24,268
2018-04-25,284
2018-04-26,278
2018-04-27,301
2018-04-28,281
2018-04-29,229
2018-04-30,272
2018-05-01,288
2018-05-02,343
2018-05-03,269
2018-05-04,332
2018-05-05,296
2018-05-06,252
2018-05-07,302
2018-05-08,266
2018-05-09,271
2018-05-10,307
2018-05-11,306
2018-05-12,249
2018-05-13,229
2018-05-14,253
2018-05-15,323
2018-05-16,259
2018-05-17,301
2018-05-18,308
2018-05-19,266
2018-05-20,259
2018-05-21,302
2018-05-22,289
2018-05-23,338
2018-05-24,281
2018-05-25,297
2018-05-26,287
2018-05-27,253
2018-05-28,233
2018-05-29,293
2018-05-30,297
2018-05-31,301
2018-06-01,305
2018-06-02,289
2018-06-03,208
2018-06-04,288
2018-06-05,311
2018-06-06,289
2018-06-07,322
2018-06-08,313
2018-06-09,279
2018-06-10,247
2018-06-11,320
2018-06-12,296
2018-06-13,293
2018-06-14,333
2018-06-15,365
2018-06-16,273
2018-06-17,250
2018-06-18,300
2018-06-19,284
2018-06-20,301
2018-06-21,283
2018-06-22,281
2018-06-23,274
2018-06-24,279
2018-06-25,335
2018-06-26,296
2018-06-27,325
2018-06-28,285
2018-06-29,264
2018-06-30,283
2018-07-01,251
2018-07-02,289
2018-07-03,316
2018-07-04,271
2018-07-05,305
2018-07-06,266
2018-07-07,247
2018-07-08,228
2018-07-09,290
2018-07-10,293
2018-07-11,285
2018-07-12,283
2018-07-13,277
2018-07-14,270
2018-07-15,245
2018-07-16,248
2018-07-17,230
2018-07-18,267
2018-07-19,280
2018-07-20,268
2018-07-21,273
2018-07-22,251
2018-07-23,297
2018-07-24,290
2018-07-25,293
2018-07-26,276
2018-07-27,290
2018-07-28,288
2018-07-29,265
2018-07-30,255
2018-07-31,274
2018-08-01,258
2018-08-02,280
2018-08-03,326
2018-08-04,245
2018-08-05,217
2018-08-06,288
2018-08-07,245
2018-08-08,247
2018-08-09,300
2018-08-10,304
2018-08-11,257
2018-08-12,245
2018-08-13,244
2018-08-14,279
2018-08-15,297
2018-08-16,274
2018-08-17,270
2018-08-18,259
2018-08-19,250
2018-08-20,272
2018-08-21,289
2018-08-22,264
2018-08-23,290
2018-08-24,270
2018-08-25,255
2018-08-26,235
2018-08-27,255
2018-08-28,250
2018-08-29,271
2018-08-30,255
2018-08-31,256
2018-09-01,247
2018-09-02,206
2018-09-03,162
